,P1,0.3333333333333333,,,,P2,0.3333333333333333,,,,P3,0.3333333333333333,,,,VOA
sensor conf.,δ,confidence of g,δ*,advantage,confidence of g*,δ,confidence of g,δ*,advantage,confidence of g*,δ,confidence of g,δ*,advantage,confidence of g*
deterministic_similarity: x0,0.0,0.01213917757162486,0.0,0.00606958878581243,0.01213917757162486,0.0,0.048556710286499216,0.0,0.024278355143249608,0.18208766357437178,0.0,-0.060695887858123854,0.0,-0.030347943929061927,-0.060695887858123854,0.0
deterministic_similarity: x1,0.0,0.01213917757162486,0.0,0.00606958878581243,0.01213917757162486,0.0,0.048556710286499216,0.0,0.024278355143249608,0.18208766357437178,0.0,-0.060695887858123854,0.0,-0.030347943929061927,-0.060695887858123854,0.0
deterministic_similarity: x2,0.0,0.01213917757162486,0.0,0.00606958878581243,0.01213917757162486,0.0,0.048556710286499216,0.0,0.024278355143249608,0.18208766357437178,0.0,-0.060695887858123854,0.0,-0.030347943929061927,-0.060695887858123854,0.0
deterministic_similarity: x3,0.0,0.01213917757162486,0.0,0,0.01213917757162486,0.0,0.048556710286499216,0.0,0,0.18208766357437178,0.0,-0.060695887858123854,0.0,0,-0.060695887858123854,0.0
norm_similarity: x0,0.0,0.010125866785534288,0.0,0.00532771857034466,0.010125866785534288,0.0,0.04091133571605465,0.0,0.020635461555022216,0.15375572280858463,0.0,-0.05199701741417273,0.0,-0.026139933120089498,-0.05199701741417273,0.0
norm_similarity: x1,0.0,0.009042236393537628,0.0,0.0042440881783480005,0.009042236393537628,0.0,0.04174041110841864,0.0,0.021464536947386204,0.15681749287115943,0.0,-0.05151760817458917,0.0,-0.025660523880505937,-0.05151760817458917,0.0
norm_similarity: x2,0.0,0.009620786112065849,0.0,0.004822637896876221,0.009620786112065849,0.0,0.03900349814172133,0.0,0.01872762398068889,0.14771839229793193,0.0,-0.051627880175737495,0.0,-0.025770795881654263,-0.051627880175737495,0.0
norm_similarity: x3,0.0,0.008823830295591306,0.0,0,0.008823830295591306,0.0,0.040206420464522497,0.0,0,0.1503714021297038,0.0,-0.05166010431607948,0.0,0,-0.05166010431607948,0.0
gaussian_similarity: x0,0.0,0.009341211880636413,0.0,0.004687331083921683,0.009341211880636413,0.0,0.03734205645642186,0.0,0.01869379427312018,0.1400327117237138,0.0,-0.04703534605654425,0.0,-0.023520624625968656,-0.04703534605654425,0.0
gaussian_similarity: x1,0.0,0.009422201026785704,0.0,0.004768320230070974,0.009422201026785704,0.0,0.037441504691478444,0.0,0.018793242508176766,0.14040564259310528,0.0,-0.046792674110392785,0.0,-0.023277952679817193,-0.046792674110392785,0.0
gaussian_similarity: x2,0.0,0.009159871872866265,0.0,0.004505991076151536,0.009159871872866265,0.0,0.03710601195190977,0.0,0.01845774976860809,0.13914755547825386,0.0,-0.04726030841651652,0.0,-0.023745586985940925,-0.04726030841651652,0.0
gaussian_similarity: x3,0.0,0.009204980786462924,0.0,0,0.009204980786462924,0.0,0.036875876755455894,0.0,0,0.1382845377083156,0.0,-0.047097380517101106,0.0,0,-0.047097380517101106,0.0
