,P1,0.24982815723483867,,,,P2,0.25007811034780064,,,,P3,0.43763669310865094,,,,P4,0.06245703930870971,,,,VOA
sensor conf.,delta,confidence of g,delta*,advantage,confidence of g*,delta,confidence of g,delta*,advantage,confidence of g*,delta,confidence of g,delta*,advantage,confidence of g*,delta,confidence of g,delta*,advantage,confidence of g*
deterministic_similarity: x0,0.0,-0.13968645283968284,0.0,0,-0.13968645283968284,0.0,-0.1397842047195088,0.0,0,-0.1397842047195088,0.0,0.199549077137382,0.0,0,0.199549077137382,0.0,-0.13968645283968284,0.0,0,-0.13968645283968284,0.0
deterministic_similarity: x1,0.0,-0.13968645283968284,0.0,0,-0.13968645283968284,0.0,-0.1397842047195088,0.0,0,-0.1397842047195088,0.0,0.199549077137382,0.0,0,0.199549077137382,0.0,0.199549077137382,0.0,0,0.199549077137382,0.0
deterministic_similarity: x2,0.0,-0.13968645283968284,0.0,0,-0.13968645283968284,0.0,0.199549077137382,0.0,0,0.199549077137382,0.0,-0.13968645283968284,0.0,0,-0.13968645283968284,0.0,-0.13968645283968284,0.0,0,-0.13968645283968284,0.0
deterministic_similarity: x3,0.0,-0.13968645283968284,0.0,0,-0.13968645283968284,0.0,-0.1397842047195088,0.0,0,-0.1397842047195088,0.0,0.199549077137382,0.0,0,0.199549077137382,0.0,0.199549077137382,0.0,0,0.199549077137382,0.0
norm_similarity: x0,0.0,0.0,0.0,0,0.0,0.0,-0.08937499360627166,0.0,0,-0.08937499360627166,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
norm_similarity: x1,0.0,-0.10626059590954562,0.0,0,-0.10626059590954562,0.0,-0.10581874411760639,0.0,0,-0.10581874411760639,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
norm_similarity: x2,0.0,-0.06815760487044631,0.0,0,-0.06815760487044631,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
norm_similarity: x3,0.0,-0.10143995519993165,0.0,0,-0.10143995519993165,0.0,-0.10899223230429289,0.0,0,-0.10899223230429289,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
gaussian_similarity: x0,0.0,-0.13968645283968284,0.0,0,-0.13968645283968284,0.0,-0.09173910500448312,0.0,0,-0.09173910500448312,0.0,0.199549077137382,0.0,0,0.199549077137382,0.0,-0.13968645283968284,0.0,0,-0.13968645283968284,0.0
gaussian_similarity: x1,0.0,-0.16306301822150948,0.0,0,-0.16306301822150948,0.0,-0.14160922320754188,0.0,0,-0.14160922320754188,0.0,0.199549077137382,0.0,0,0.199549077137382,0.0,0.199549077137382,0.0,0,0.199549077137382,0.0
gaussian_similarity: x2,0.0,-0.10374703972541055,0.0,0,-0.10374703972541055,0.0,0.199549077137382,0.0,0,0.199549077137382,0.0,-0.13968645283968284,0.0,0,-0.13968645283968284,0.0,-0.13968645283968284,0.0,0,-0.13968645283968284,0.0
gaussian_similarity: x3,0.0,-0.1442838144557177,0.0,0,-0.1442838144557177,0.0,-0.1500287373732332,0.0,0,-0.1500287373732332,0.0,0.199549077137382,0.0,0,0.199549077137382,0.0,0.199549077137382,0.0,0,0.199549077137382,0.0
